일,미디어소스,캠페인,그룹,소재,클릭,회원가입,구매,구매매출
2025-02-01,googleadwords_int,GGL_CMP_01_플러스가입,논타겟,VID_플러스멤버십_겨울_A_v1,1304,126,38,2398323
2025-02-01,googleadwords_int,GGL_CMP_01_플러스가입,논타겟,IMG_플러스멤버십_겨울_B_v1,1555,149,43,2560680
2025-02-01,googleadwords_int,GGL_CMP_01_플러스가입,논타겟,CRS_플러스멤버십_겨울_v1,2192,203,69,3684806
2025-02-01,googleadwords_int,GGL_CMP_01_플러스가입,유사타겟,IMG_적립혜택_겨울_v2,2457,368,92,5423140
2025-02-01,googleadwords_int,GGL_CMP_02_리타겟팅,리마케팅,VID_할인쿠폰_겨울_A_v1,1196,159,67,3357278
2025-02-01,googleadwords_int,GGL_CMP_03_첫구매,논타겟,VID_적립혜택_겨울_A_v1,1578,114,55,4110519
2025-02-01,Facebook Ads,META_CMP_01_신규유저,논타겟,VID_플러스멤버십_겨울_A_v1,1072,87,23,939685
2025-02-01,Facebook Ads,META_CMP_02_룩얼라이크,유사타겟,IMG_할인쿠폰_겨울_B_v1,826,60,18,1136903
2025-02-01,Facebook Ads,META_CMP_03_재구매,VIP,CRS_신상품_겨울_v1,356,19,11,989186
2025-02-01,Facebook Ads,META_CMP_03_재구매,윈백,IMG_배송혜택_겨울_A_v1,811,36,21,1625987
2025-02-01,naver_search,NVR_CMP_01_브랜드KW,논타겟,TXT_플러스멤버십_겨울_A_v1,1089,223,134,9806733
2025-02-01,naver_search,NVR_CMP_02_일반KW,논타겟,TXT_할인쿠폰_겨울_A_v1,1536,251,75,4040995
2025-02-01,naver_search,NVR_CMP_03_재구매,VIP,IMG_배송혜택_겨울_A_v1,631,73,37,3724853
2025-02-01,naver_search,NVR_CMP_03_재구매,윈백,VID_적립혜택_겨울_B_v1,588,57,36,3430184
