일,채널,채널분류,캠페인,캠페인목적,그룹,소재,노출,클릭,비용,회원가입,구매,구매매출
2025-02-03,구글,외부,GGL_CMP_01_플러스가입,플러스가입,논타겟,VID_플러스멤버십_겨울_A_v1,75020,1238,375480,143,36,2277203
2025-02-03,구글,외부,GGL_CMP_01_플러스가입,플러스가입,논타겟,IMG_플러스멤버십_겨울_B_v1,59612,1644,265772,158,46,2707516
2025-02-03,구글,외부,GGL_CMP_01_플러스가입,플러스가입,논타겟,CRS_플러스멤버십_겨울_v1,76726,2360,395026,219,74,3967361
2025-02-03,구글,외부,GGL_CMP_01_플러스가입,플러스가입,유사타겟,IMG_적립혜택_겨울_v2,76723,2400,428092,360,90,5297934
2025-02-03,구글,외부,GGL_CMP_02_리타겟팅,리타겟팅,리마케팅,VID_할인쿠폰_겨울_A_v1,41595,1248,236513,166,70,3503446
2025-02-03,구글,외부,GGL_CMP_03_첫구매,첫구매,논타겟,VID_적립혜택_겨울_A_v1,90203,1935,496233,140,67,5040692
2025-02-03,메타,외부,META_CMP_01_신규유저,신규유저,논타겟,VID_플러스멤버십_겨울_A_v1,67435,1139,280129,93,24,997714
2025-02-03,메타,외부,META_CMP_02_룩얼라이크,룩얼라이크,유사타겟,IMG_할인쿠폰_겨울_B_v1,44874,945,185080,69,21,1301460
2025-02-03,메타,외부,META_CMP_03_재구매,재구매,VIP,CRS_신상품_겨울_v1,14727,396,51277,21,13,1100153
2025-02-03,메타,외부,META_CMP_03_재구매,재구매,윈백,IMG_배송혜택_겨울_A_v1,33011,948,131411,42,25,1901532
2025-02-03,네이버,자체,NVR_CMP_01_브랜드KW,브랜드KW,논타겟,TXT_플러스멤버십_겨울_A_v1,7834,1229,66113,252,151,11062894
2025-02-03,네이버,자체,NVR_CMP_02_일반KW,일반KW,논타겟,TXT_할인쿠폰_겨울_A_v1,21410,1781,194201,291,88,4687529
2025-02-03,네이버,자체,NVR_CMP_03_재구매,재구매,VIP,IMG_배송혜택_겨울_A_v1,8839,664,79499,77,39,3922493
2025-02-03,네이버,자체,NVR_CMP_03_재구매,재구매,윈백,VID_적립혜택_겨울_B_v1,12542,651,104599,63,40,3797311
